author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,house_material_type,year_construction
Замоскворечье,real_estate_agent,https://elektrostal.cian.ru/sale/flat/307815482/,Электросталь,sale,flat,1,4,2,49.6,6300000,, Николаева,29,Щёлковская,,,
Самолет Плюс Подмосковье,real_estate_agent,https://elektrostal.cian.ru/sale/flat/303443728/,Электросталь,sale,flat,10,10,2,50.0,5000000,мкр. Северный,проспект Ленина,2к3,,,,
Капитал-недвижимость,real_estate_agent,https://elektrostal.cian.ru/sale/flat/307056325/,Электросталь,sale,flat,10,14,2,50.3,6599000,мкр. Восточный,Спортивная ,43а,,,,
Алексей Сомов,realtor,https://elektrostal.cian.ru/sale/flat/302300319/,Электросталь,sale,flat,5,9,2,56.0,6600000,мкр. Восточный,Юбилейная ,5,,,,
ID 107070175,homeowner,https://elektrostal.cian.ru/sale/flat/303358265/,Электросталь,sale,flat,5,5,2,45.2,4900000,мкр. Южный, Мира,15а,,,,
Алексей Ильин,realtor,https://elektrostal.cian.ru/sale/flat/300049805/,Электросталь,sale,flat,12,17,2,49.3,6600000,мкр. Восточный, Захарченко,12,,Высоково,,
Татьяна Стремилова,realtor,https://elektrostal.cian.ru/sale/flat/308090930/,Электросталь,sale,flat,1,17,1,48.0,6750000,мкр. Юго-Западный, Ялагина,9,,,,
Анастасия Кустарева,realtor,https://elektrostal.cian.ru/sale/flat/308061871/,Электросталь,sale,flat,7,9,2,68.0,8500000,мкр. Северный, Второва,8к1,,,,
Эксперт,real_estate_agent,https://elektrostal.cian.ru/sale/flat/298519951/,Электросталь,sale,flat,11,12,2,66.6,9600000,мкр. Восточный,Лесная ,27,,,,
Эль Этаж,real_estate_agent,https://elektrostal.cian.ru/sale/flat/307718870/,Электросталь,sale,flat,6,10,2,50.0,4900000,мкр. Восточный,Комсомольская ,1,,Янтарь,,
Самолет Плюс Подмосковье,real_estate_agent,https://elektrostal.cian.ru/sale/flat/303339223/,Электросталь,sale,flat,3,5,2,59.0,10200000,мкр. Центральный,проспект Ленина,44/14,,,,
Замоскворечье,real_estate_agent,https://elektrostal.cian.ru/sale/flat/307798301/,Электросталь,sale,flat,1,5,2,71.4,10500000,,проспект Ленина,35/20,Железнодорожная,,,
ID 117645973,homeowner,https://elektrostal.cian.ru/sale/flat/303197115/,Электросталь,sale,flat,7,14,2,52.1,5990000,мкр. Восточный,Юбилейная ,13,,,,
Сергей Флегонтов,realtor,https://elektrostal.cian.ru/sale/flat/306447363/,Электросталь,sale,flat,2,5,2,45.4,3750000,мкр. Северный,Первомайская ,2Б,,,,
ID 31077977,realtor,https://elektrostal.cian.ru/sale/flat/308827993/,Электросталь,sale,flat,3,9,2,50.0,5550000,мкр. Южный, Тевосяна,10б,,,,
Дмитрий Филимонов,realtor,https://elektrostal.cian.ru/sale/flat/303103296/,Электросталь,sale,flat,2,6,2,40.6,4500000,мкр. Северный,проспект Ленина,30/13,,,,
ID 61333,homeowner,https://elektrostal.cian.ru/sale/flat/308823458/,Электросталь,sale,flat,3,5,2,44.9,5800000,мкр. Восточный, Карла Маркса,47а,,,,
Самолет Плюс  Павловский Посад,real_estate_agent,https://elektrostal.cian.ru/sale/flat/306026938/,Электросталь,sale,flat,2,5,2,45.0,5450000,мкр. Южный, Тевосяна,32,,,,
ID 119938942,homeowner,https://elektrostal.cian.ru/sale/flat/305507732/,Электросталь,sale,flat,9,17,1,50.0,8200000,мкр. Юго-Западный, Ялагина,7,,,,
ID 505860,realtor,https://elektrostal.cian.ru/sale/flat/306352605/,Электросталь,sale,flat,2,5,1,32.0,3850000,мкр. Центральный, Николаева,54а,,,,
Елена Томмэ,realtor,https://elektrostal.cian.ru/sale/flat/306824981/,Электросталь,sale,flat,1,5,2,45.0,4800000,мкр. Южный, Тевосяна,16а,,,,
ЭТАЖИ Электросталь,real_estate_agent,https://elektrostal.cian.ru/sale/flat/308622244/,Электросталь,sale,flat,5,5,1,33.2,3350000,мкр. Северный,Первомайская ,04Б,,,,
ЛИДЕР,real_estate_agent,https://elektrostal.cian.ru/sale/flat/305059554/,Электросталь,sale,flat,1,5,1,38.0,3300000,мкр. Восточный,Трудовая ,39,,,,
ID 84396900,realtor,https://elektrostal.cian.ru/sale/flat/306100573/,Электросталь,sale,flat,2,9,1,30.2,3990000,мкр. Южный,Южный проспект,7к6,,,,
Этажи Москва,real_estate_agent,https://elektrostal.cian.ru/sale/flat/308569330/,Электросталь,sale,flat,2,4,2,56.0,6050000,мкр. Восточный, Карла Маркса,46,,,,
Евгения Башко,realtor,https://elektrostal.cian.ru/sale/flat/303078199/,Электросталь,sale,flat,1,4,2,42.0,4300000,Электросталь, Сталеваров,4а,,,,
Этажи Воскресенск-Раменское,real_estate_agent,https://elektrostal.cian.ru/sale/flat/308360141/,Электросталь,sale,flat,4,10,2,65.0,8000000,мкр. Юго-Западный,бульвар 60-летия Победы,4,,,,
Анастасия Андреева,realtor,https://elektrostal.cian.ru/sale/flat/306230955/,Электросталь,sale,flat,9,9,2,50.0,6300000,мкр. Южный, Тевосяна,10,,,,
Юлия Гальтяпова,realtor,https://elektrostal.cian.ru/sale/flat/305954737/,Электросталь,sale,flat,5,9,2,47.6,6170000,мкр. Восточный, Карла Маркса,17а,,,,
ID 117512898,realtor,https://elektrostal.cian.ru/sale/flat/308097313/,Электросталь,sale,flat,15,15,2,70.0,9200000,мкр. Восточный, Захарченко,7,,ул. Захарченко,,
Самолет Плюс Подмосковье,real_estate_agent,https://elektrostal.cian.ru/sale/flat/308618166/,Электросталь,sale,flat,5,5,1,32.5,3250000,мкр. Центральный, Тевосяна,35а,,,,
Самолет Плюс Подмосковье,real_estate_agent,https://elektrostal.cian.ru/sale/flat/299253445/,Электросталь,sale,flat,5,5,1,30.0,3200000,мкр. Северный,Первомайская ,10,,,,
ID 73511,realtor,https://elektrostal.cian.ru/sale/flat/307871680/,Электросталь,sale,flat,4,9,1,33.0,4400000,мкр. Юго-Западный, Журавлева,15,,,,
ID 12914947,realtor,https://elektrostal.cian.ru/sale/flat/308626985/,Электросталь,sale,flat,5,9,2,48.8,4950000,мкр. Восточный,Спортивная ,47,,,,
Юлия Гальтяпова,realtor,https://elektrostal.cian.ru/sale/flat/308242864/,Электросталь,sale,flat,2,5,1,33.9,4200000,мкр. Юго-Западный,Западная ,33,,,,
ЭТАЖИ Электросталь,real_estate_agent,https://elektrostal.cian.ru/sale/flat/308520917/,Электросталь,sale,flat,13,17,1,38.0,4580000,мкр. Восточный,Трудовая ,19,,,,
Самолет Плюс Ногинск,real_estate_agent,https://elektrostal.cian.ru/sale/flat/295680310/,Электросталь,sale,flat,5,5,2,42.3,3880000,мкр. Южный, Победы,1к3,,,,
Риверхаус,developer,https://shchyolkovo.cian.ru/sale/flat/287401169/,Щёлково,sale,flat,3,20,2,88.4,11074752,,Советская ,60,Первомайская,River House,,
ID 313435,homeowner,https://shchyolkovo.cian.ru/sale/flat/301881672/,Щёлково,sale,flat,15,17,2,65.3,7600000,,,1к2,Щёлковская,Потапово,,
Марина Королева,realtor,https://shchyolkovo.cian.ru/sale/flat/308212188/,Щёлково,sale,flat,5,5,1,32.0,3300000,мкр. Заречный,Сиреневая ,8,,,,
Риверхаус,developer,https://shchyolkovo.cian.ru/sale/flat/302077761/,Щёлково,sale,flat,16,20,1,46.6,9320000,,Советская ,60,Первомайская,River House,,
ТСН Владис,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/305185902/,Щёлково,sale,flat,4,4,1,30.1,3200000,,Западная ,28,Щёлковская,,,
МИЭЛЬ Офис в Пушкино,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/298265645/,Щёлково,sale,flat,12,15,1,38.5,6400000,Щелково,Центральная ,71к2,,,,
Риверхаус,developer,https://shchyolkovo.cian.ru/sale/flat/280751659/,Щёлково,sale,flat,13,20,2,80.0,12400000,,Советская ,60,Первомайская,River House,,
ТСН Владис,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/307411429/,Щёлково,sale,flat,8,9,2,45.5,5999999,,Пустовская ,18,Щёлковская,,,
Монолит - Недвижимость в Щёлковском районе,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308635530/,Щёлково,sale,flat,1,5,1,31.0,3650000,, Беляева,22,Щёлковская,,,
Риверхаус,developer,https://shchyolkovo.cian.ru/sale/flat/292809512/,Щёлково,sale,flat,14,20,2,80.7,12508500,,Советская ,60,Первомайская,River House,,
Самолет плюс Щелково,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/305279515/,Щёлково,sale,flat,13,17,1,46.0,6930000,,переулок 1-й Советский,16А,Щёлковская,,,
Ингосстрах Банк,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/300689365/,Щёлково,sale,flat,5,5,1,27.9,2939400,мкр. Щелково-7,проспект 60 лет Октября,5,,,,
ГРАНД,developer,https://shchyolkovo.cian.ru/sale/flat/307648972/,Щёлково,sale,flat,17,17,2,61.06,10055361,,,к8,Гольяново,Соболевка ЖК,,
ТСН Владис,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/307952579/,Щёлково,sale,flat,2,4,2,45.0,6200000,,Парковая ,4,Щёлковская,,,
Легион-Недвижимость,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/304495279/,Щёлково,sale,flat,7,14,1,42.3,5850000,мкр. Дальний Воронок,Центральная ,92,,,,
ГРАНД,developer,https://shchyolkovo.cian.ru/sale/flat/307648480/,Щёлково,sale,flat,11,17,1,46.53,6979500,,,к6,Щёлковская,Соболевка ЖК,,
ТСН Владис,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308165446/,Щёлково,sale,flat,3,16,2,60.7,8500000,,,2,Щёлковская,Богородский,,
Виктория Жугина,realtor,https://shchyolkovo.cian.ru/sale/flat/308409064/,Щёлково,sale,flat,4,14,1,41.2,5350000,,Заречная ,5Б,Щёлковская,Пролетарский проспект 12,,
ГРАНД,developer,https://shchyolkovo.cian.ru/sale/flat/307648847/,Щёлково,sale,flat,10,17,2,60.39,8937720,,,к7,Железнодорожная,Соболевка ЖК,,
ТСН Владис,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308293805/,Щёлково,sale,flat,4,5,1,37.9,4700000,, Комарова,13,Щёлковская,,,
ID 257252,homeowner,https://shchyolkovo.cian.ru/sale/flat/307747596/,Щёлково,sale,flat,2,5,2,46.0,4300000,, Комарова,17к2,Щёлковская,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/307945981/,Щёлково,sale,flat,1,17,1,34.44,6354300,,Полевая ,4А,Гольяново,Дом на Сиреневой,,
ТСН Владис,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/295685654/,Щёлково,sale,flat,9,9,2,43.2,6150000,,Талсинская ,8,Щёлковская,,,
ID 334628,unknown,https://shchyolkovo.cian.ru/sale/flat/307084562/,Щёлково,sale,flat,6,9,2,44.0,5600000,,,6,Щёлковская,,,
ГРАНД,developer,https://shchyolkovo.cian.ru/sale/flat/307648823/,Щёлково,sale,flat,7,17,2,58.12,8601760,,,к7,Железнодорожная,Соболевка ЖК,,
Самолет плюс Щелково,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/307255192/,Щёлково,sale,flat,1,5,2,41.4,5799000,, Комарова,15к1,Щёлковская,,,
ТСН Владис,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/306602225/,Щёлково,sale,flat,12,14,2,60.0,6300000,,,17,Щёлковская,Богородский,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308384997/,Щёлково,sale,flat,16,17,2,64.4,8369794,,Фряновское шоссе,13,Гольяново,Солнечная долина,,
Альбина Полякова,realtor,https://shchyolkovo.cian.ru/sale/flat/305507549/,Щёлково,sale,flat,6,17,1,35.0,4850000,,,,,Богородский,,
ID 13402229,homeowner,https://shchyolkovo.cian.ru/sale/flat/289444105/,Щёлково,sale,flat,5,9,2,52.9,6100000,, Радиоцентра № 5,13,Щёлковская,,,
ГРАНД,developer,https://shchyolkovo.cian.ru/sale/flat/307648883/,Щёлково,sale,flat,16,17,2,54.28,8033440,,,к7,Железнодорожная,Соболевка ЖК,,
Частная собственность,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/307088040/,Щёлково,sale,flat,1,17,1,40.0,5650000,,,1к2,Щёлковская,Потапово,,
Тёплый Дом,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308590477/,Щёлково,sale,flat,5,5,1,31.0,4000000,, Беляева,23,Щёлковская,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308385039/,Щёлково,sale,flat,13,17,2,60.2,10296000,,Полевая ,4А,Гольяново,Дом на Сиреневой,,
Виктория Колтунова,realtor,https://shchyolkovo.cian.ru/sale/flat/300047459/,Щёлково,sale,flat,3,9,1,34.0,3995000,, Бахчиванджи,3,Щёлковская,,,
ID 110883808,homeowner,https://shchyolkovo.cian.ru/sale/flat/308448405/,Щёлково,sale,flat,11,18,1,42.0,6500000,,,,,Богородский,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308384946/,Щёлково,sale,flat,16,17,2,62.84,8395747,,Фряновское шоссе,13,Гольяново,Солнечная долина,,
ПРОСПЕКТ,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308952341/,Щёлково,sale,flat,7,14,2,64.3,10100000,,Пролетарский проспект,7А,Щёлковская,,,
ID 94535487,homeowner,https://shchyolkovo.cian.ru/sale/flat/303823587/,Щёлково,sale,flat,5,10,2,56.0,6499000,мкр. Заречный,Сиреневая ,5а,,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308384986/,Щёлково,sale,flat,15,17,2,60.6,8551343,,Фряновское шоссе,13,Гольяново,Солнечная долина,,
Виктория Колтунова,realtor,https://shchyolkovo.cian.ru/sale/flat/308206605/,Щёлково,sale,flat,2,4,2,55.0,5999999,, Ленина,14,Щёлковская,,,
ГОРОДА,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308302248/,Щёлково,sale,flat,8,17,1,39.0,3900000,Щелково,Фряновское шоссе,64к1,,Солнечная долина,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/307945797/,Щёлково,sale,flat,16,17,1,28.28,5350180,,Фряновское шоссе,13,Гольяново,Солнечная долина,,
ID 18667126,realtor,https://shchyolkovo.cian.ru/sale/flat/308526761/,Щёлково,sale,flat,12,16,1,42.0,6200000,, Жегаловская,27,Щёлковская,Новое Жегалово,,
Алексей Соловьев,realtor,https://shchyolkovo.cian.ru/sale/flat/306552635/,Щёлково,sale,flat,5,5,1,28.0,3450000,мкр. Щелково-7,проспект 60 лет Октября,5,,,,
ГРАНД,developer,https://shchyolkovo.cian.ru/sale/flat/307648116/,Щёлково,sale,flat,3,17,2,59.78,8847440,,,к6,Щёлковская,Соболевка ЖК,,
ID 10606565,realtor,https://shchyolkovo.cian.ru/sale/flat/308635084/,Щёлково,sale,flat,2,9,2,53.6,5350000,мкр. Щелково-7, Неделина,22,,,,
Абсолют Капитал Недвижимость,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308559096/,Щёлково,sale,flat,3,5,2,48.3,5200000,мкр. Щелково-7,проспект 60 лет Октября,4,,,,
ГРАНД,developer,https://shchyolkovo.cian.ru/sale/flat/307648587/,Щёлково,sale,flat,17,17,2,54.59,8079320,,,к6,Щёлковская,Соболевка ЖК,,
ID 94544273,realtor,https://shchyolkovo.cian.ru/sale/flat/305798284/,Щёлково,sale,flat,4,5,2,45.8,6300000,мкр. Щелково-7,проспект 60 лет Октября,17,,,,
ID 24100369,realtor,https://shchyolkovo.cian.ru/sale/flat/308805239/,Щёлково,sale,flat,4,9,2,51.0,6500000,мкр. Щелково-7,проспект 60 лет Октября,2б,,,,
Риверхаус,developer,https://shchyolkovo.cian.ru/sale/flat/297679931/,Щёлково,sale,flat,12,20,2,79.0,12087000,,Советская ,60,Первомайская,River House,,
ID 109057571,homeowner,https://shchyolkovo.cian.ru/sale/flat/308931539/,Щёлково,sale,flat,11,17,2,63.0,9500000,,,,,Богородский,,
ID 15969778,homeowner,https://shchyolkovo.cian.ru/sale/flat/302992572/,Щёлково,sale,flat,3,5,2,48.5,4300000,, Беляева,35,Щёлковская,,,
ГРАНД,developer,https://shchyolkovo.cian.ru/sale/flat/307648280/,Щёлково,sale,flat,16,17,2,58.78,10462840,,,к6,Щёлковская,Соболевка ЖК,,
ID 12364983,homeowner,https://shchyolkovo.cian.ru/sale/flat/302387245/,Щёлково,sale,flat,6,16,2,62.0,10250000,,,,,Богородский,,
ID 340365,realtor,https://shchyolkovo.cian.ru/sale/flat/306573703/,Щёлково,sale,flat,7,16,2,58.7,6950000,,,,,Богородский,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308384704/,Щёлково,sale,flat,13,17,2,77.29,12656000,, Строителей,14А,Щёлковская,Солнечный Парк,,
ID 116431322,homeowner,https://shchyolkovo.cian.ru/sale/flat/301875137/,Щёлково,sale,flat,14,14,2,62.4,9177744,,,,,Финский,,
ID 334100,unknown,https://shchyolkovo.cian.ru/sale/flat/307135546/,Щёлково,sale,flat,10,17,1,43.0,5550000,,,,,Богородский,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/307945864/,Щёлково,sale,flat,13,17,1,41.0,5974734,,Фряновское шоссе,13,Гольяново,Солнечная долина,,
ID 52751740,homeowner,https://shchyolkovo.cian.ru/sale/flat/307569787/,Щёлково,sale,flat,5,5,2,41.6,5390000,, Беляева,1,Щёлковская,,,
ТСН Владис,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/306058433/,Щёлково,sale,flat,10,12,2,46.4,6980000,,Краснознаменская ,17к5,Щёлковская,Краснознаменская 17,,
ГРАНД,developer,https://shchyolkovo.cian.ru/sale/flat/307648539/,Щёлково,sale,flat,14,17,2,54.28,8033440,,,к6,Щёлковская,Соболевка ЖК,,
Виктория Колтунова,realtor,https://shchyolkovo.cian.ru/sale/flat/304392280/,Щёлково,sale,flat,3,5,1,27.6,3150000,, Беляева,9,Щёлковская,,,
Гранд Капитал,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/307957535/,Щёлково,sale,flat,3,5,2,47.0,4570000,мкр. Щелково-12, 8 Марта,19а,,,,
ГРАНД,developer,https://shchyolkovo.cian.ru/sale/flat/307648760/,Щёлково,sale,flat,1,17,1,39.66,5949000,,,к7,Железнодорожная,Соболевка ЖК,,
Дмитрий Чиркин,realtor,https://shchyolkovo.cian.ru/sale/flat/307346621/,Щёлково,sale,flat,2,17,1,39.6,5100000,,,1к2,Щёлковская,Потапово,,
ID 174200,homeowner,https://shchyolkovo.cian.ru/sale/flat/305822003/,Щёлково,sale,flat,6,16,1,43.0,5550000,,,,,Богородский,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308385111/,Щёлково,sale,flat,1,17,2,61.11,9718800,,Полевая ,4Б,Гольяново,Дом на Сиреневой,,
Дмитрий Чернов,realtor,https://shchyolkovo.cian.ru/sale/flat/305212868/,Щёлково,sale,flat,4,5,2,46.5,4490000,мкр. Заречный, Космодемьянская,13,,,,
ID 81164633,unknown,https://shchyolkovo.cian.ru/sale/flat/308687656/,Щёлково,sale,flat,2,3,2,40.4,4800000,, Плеханова,10,Щёлковская,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308384856/,Щёлково,sale,flat,16,17,2,50.56,9616200,,Центральная ,69,Щёлковская,Солнечный Парк,,
Монолит - Недвижимость в Щёлковском районе,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/304573698/,Щёлково,sale,flat,4,4,1,32.0,3790000,, Институтская,28,Щёлковская,,,
ID 82611083,homeowner,https://shchyolkovo.cian.ru/sale/flat/277585354/,Щёлково,sale,flat,1,2,2,45.4,4000000,мкр. Дальний Воронок,Пионерская ,14,,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308385005/,Щёлково,sale,flat,16,17,2,58.0,8079886,,Фряновское шоссе,13,Гольяново,Солнечная долина,,
Владимир Волошинов,realtor,https://shchyolkovo.cian.ru/sale/flat/297111359/,Щёлково,sale,flat,9,14,1,35.0,4500000,,Комсомольская ,2,Щёлковская,,,
МИЭЛЬ,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308875950/,Щёлково,sale,flat,3,5,1,34.0,4500000,, Беляева,20А,Щёлковская,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/307945827/,Щёлково,sale,flat,15,17,1,42.18,6525310,,Фряновское шоссе,13,Гольяново,Солнечная долина,,
Елена Скугаревская,realtor,https://shchyolkovo.cian.ru/sale/flat/307770972/,Щёлково,sale,flat,8,10,1,38.0,5900000,,Центральная ,9,Щёлковская,,,
ID 95085,realtor,https://shchyolkovo.cian.ru/sale/flat/308294258/,Щёлково,sale,flat,3,5,2,48.0,4650000,мкр. Заречный, Космодемьянская,15к3,,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308384762/,Щёлково,sale,flat,13,17,2,74.84,13106400,, Строителей,14А,Щёлковская,Солнечный Парк,,
А.М.О.Н.,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308540040/,Щёлково,sale,flat,6,14,1,32.2,5300000,,Талсинская ,4а,Щёлковская,,,
Абсолют Капитал Недвижимость,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308747221/,Щёлково,sale,flat,16,17,2,66.7,8700000,, Чкаловская,8,Щёлковская,,,
Светлана Антонова,realtor,https://shchyolkovo.cian.ru/sale/flat/308295445/,Щёлково,sale,flat,8,16,2,63.4,7600000,мкр. Щелково-7, Неделина,24,,,,
ID 105995132,homeowner,https://shchyolkovo.cian.ru/sale/flat/305779181/,Щёлково,sale,flat,1,5,1,32.0,3800000,,Парковая ,9А,Щёлковская,,,
Риверхаус,developer,https://shchyolkovo.cian.ru/sale/flat/290507487/,Щёлково,sale,flat,4,20,2,87.2,11379600,,Советская ,60,Первомайская,River House,,
Квартал-М,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308297802/,Щёлково,sale,flat,1,16,1,43.9,5200000,,,,,Богородский,,
ID 45808467,homeowner,https://shchyolkovo.cian.ru/sale/flat/302728094/,Щёлково,sale,flat,14,17,1,40.0,6300000,, Жегаловская,29к1,Щёлковская,Новое Жегалово,,
Риверхаус,developer,https://shchyolkovo.cian.ru/sale/flat/292809495/,Щёлково,sale,flat,6,20,2,85.8,13127400,,Советская ,60,Первомайская,River House,,
Елена Березина,realtor,https://shchyolkovo.cian.ru/sale/flat/303590483/,Щёлково,sale,flat,15,16,1,29.6,4600000,,,,,Богородский,,
Три Ступени,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/296346868/,Щёлково,sale,flat,16,16,1,36.7,5500000,,,,,Богородский,,
ГРАНД,developer,https://shchyolkovo.cian.ru/sale/flat/307715937/,Щёлково,sale,flat,9,17,1,40.97,6145500,,,к7,Железнодорожная,Соболевка ЖК,,
Елена Москалец,realtor,https://shchyolkovo.cian.ru/sale/flat/306736238/,Щёлково,sale,flat,1,10,1,34.8,4900000,мкр. Заречный,Сиреневая ,5б,,,,
Эрия-М,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/307936337/,Щёлково,sale,flat,1,2,2,56.0,3300000,Щелково,Заречная ,80,,,,
ГРАНД,developer,https://shchyolkovo.cian.ru/sale/flat/307648730/,Щёлково,sale,flat,16,17,1,47.51,7126500,,,к7,Железнодорожная,Соболевка ЖК,,
Метражи group,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308901850/,Щёлково,sale,flat,3,5,2,44.5,4499000,, Комарова,17к3,Щёлковская,,,
ID 112412570,homeowner,https://shchyolkovo.cian.ru/sale/flat/297507631/,Щёлково,sale,flat,8,9,2,44.8,7500000,,Талсинская ,2,Щёлковская,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308384937/,Щёлково,sale,flat,15,17,2,60.27,8482822,,Фряновское шоссе,13,Гольяново,Солнечная долина,,
Константин Маршанцев,realtor,https://shchyolkovo.cian.ru/sale/flat/305654031/,Щёлково,sale,flat,1,5,1,31.0,3400000,, Беляева,20,Щёлковская,,,
Абсолют Капитал Недвижимость,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308884653/,Щёлково,sale,flat,11,16,2,60.1,8750000,,,,,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308385059/,Щёлково,sale,flat,13,17,2,66.32,10833000,,Полевая ,4А,Гольяново,Дом на Сиреневой,,
New Home,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/308294175/,Щёлково,sale,flat,17,17,1,41.0,6650000,,,,,Финский,,
ID 15027175,homeowner,https://shchyolkovo.cian.ru/sale/flat/297764909/,Щёлково,sale,flat,10,18,2,44.7,6400000,, Жегаловская,29,Щёлковская,Новое Жегалово,,
Риверхаус,developer,https://shchyolkovo.cian.ru/sale/flat/305284517/,Щёлково,sale,flat,6,20,2,84.5,12506000,,Советская ,60,Первомайская,River House,,
Антон Брусов,realtor,https://shchyolkovo.cian.ru/sale/flat/308690252/,Щёлково,sale,flat,2,5,1,31.2,4100000,мкр. Дальний Воронок,Первомайская ,40,,,,
Самолет Плюс,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/307489986/,Щёлково,sale,flat,6,12,2,59.0,5200000,, Бахчиванджи,9,Щёлковская,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308384822/,Щёлково,sale,flat,2,17,2,62.39,11020100,,Центральная ,69,Щёлковская,Солнечный Парк,,
ГОРОБМЕН,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/297697462/,Щёлково,sale,flat,11,14,1,43.0,5300000,, Неделина,23,Щёлковская,,,
Владис,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/301018964/,Щёлково,sale,flat,11,17,1,50.73,6800000,,переулок 1-й Советский,14,Щёлковская,Пустовский,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308385087/,Щёлково,sale,flat,12,17,2,65.07,10407250,,Полевая ,4Б,Гольяново,Дом на Сиреневой,,
Светлана Антонова,realtor,https://shchyolkovo.cian.ru/sale/flat/308305585/,Щёлково,sale,flat,4,5,2,41.3,5400000,, Комарова,15к2,Щёлковская,,,
Ирина Шалаевская,realtor,https://shchyolkovo.cian.ru/sale/flat/301123977/,Щёлково,sale,flat,1,4,1,30.1,4350000,, Пушкина,17,Щёлковская,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308385072/,Щёлково,sale,flat,1,17,2,49.3,8415000,,Полевая ,4А,Гольяново,Дом на Сиреневой,,
Ирина Палий,realtor,https://shchyolkovo.cian.ru/sale/flat/308642756/,Щёлково,sale,flat,4,9,2,54.2,6400000,мкр. Щелково-7, Неделина,18,,,,
ТСН Владис,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/306606911/,Щёлково,sale,flat,1,5,2,41.9,4400000,,проспект 60 лет Октября,5,Щёлковская,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308384616/,Щёлково,sale,flat,7,17,1,45.26,9266100,,Центральная ,67,Щёлковская,Солнечный Парк,,
Наш Город,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/307213994/,Щёлково,sale,flat,2,5,2,46.0,5200000,мкр. Заречный,Сиреневая ,6/1,,,,
Октябрьская,real_estate_agent,https://shchyolkovo.cian.ru/sale/flat/304452822/,Щёлково,sale,flat,2,5,2,44.0,4600000,Щелково,Фряновское шоссе,70,,,,
R-invest,developer,https://shchyolkovo.cian.ru/sale/flat/308385115/,Щёлково,sale,flat,1,17,2,69.59,10878300,,Полевая ,4Б,Гольяново,Дом на Сиреневой,,
